,r,length_of_url,http_has,suspicious_char,prefix_suffix,dots,slash,phis_term,sub_domain,ip_contain
343,yes,1,1,1,1,1,1,1,0,0
344,yes,1,1,1,1,1,1,0,1,0
345,yes,1,1,1,1,0,1,0,0,0
346,yes,0,1,1,0,1,1,0,0,0
347,yes,1,1,1,1,1,1,1,0,0
348,yes,1,1,1,1,1,1,1,0,0
349,yes,1,1,1,1,1,1,1,0,0
350,yes,1,1,1,1,1,1,1,0,0
351,yes,1,1,1,1,1,1,1,0,0
352,yes,1,1,1,1,1,1,1,0,0
353,yes,0,1,1,0,1,1,1,0,0
354,yes,0,1,1,1,1,1,0,1,0
355,yes,1,1,1,1,0,0,1,0,0
356,yes,1,1,1,1,1,0,0,0,0
357,yes,0,1,1,0,1,1,0,0,0
358,yes,0,1,1,0,1,1,0,1,0
359,yes,1,1,1,0,1,0,0,0,0
360,yes,0,1,1,0,1,1,0,0,0
361,yes,0,1,1,0,1,1,0,0,0
362,yes,0,1,1,0,1,0,0,0,0
363,yes,1,1,1,0,1,1,0,0,0
364,yes,0,1,1,1,1,1,0,0,0
365,yes,0,1,1,1,1,1,0,0,0
366,yes,0,1,1,0,1,1,0,0,0
367,yes,1,1,1,1,1,1,0,0,0
368,yes,1,1,1,0,0,0,1,1,0
369,yes,1,1,1,0,0,0,1,1,0
370,yes,1,1,1,0,0,0,1,1,0
371,yes,1,1,1,0,0,0,1,1,0
372,yes,1,1,1,0,0,0,1,1,0
373,yes,1,1,1,0,0,0,1,1,0
374,yes,1,1,1,1,0,0,1,1,0
375,yes,1,1,1,1,1,0,0,0,0
376,yes,0,1,1,1,1,0,0,0,0
377,yes,1,1,1,1,1,0,0,0,0
378,yes,0,1,1,1,1,0,0,0,0
379,yes,0,1,1,0,1,1,0,0,0
380,yes,1,1,1,0,1,0,0,1,0
381,yes,1,1,1,0,1,0,0,1,0
382,yes,0,1,1,0,1,1,1,0,0
383,yes,1,1,1,0,1,0,0,0,0
384,yes,1,1,1,1,1,1,1,0,0
385,yes,0,1,1,0,1,1,0,0,0
386,yes,0,1,1,0,1,1,0,1,0
387,yes,1,1,1,0,1,0,0,0,0
388,yes,1,1,1,0,1,0,0,1,0
389,yes,0,1,1,0,1,1,0,1,0
390,yes,0,1,1,1,1,1,0,0,0
391,yes,0,1,1,0,1,1,0,0,0
392,yes,0,1,1,0,1,1,0,0,0
393,yes,0,1,1,1,1,0,0,0,0
394,yes,1,1,1,1,1,1,1,0,0
395,yes,0,1,1,0,1,1,0,0,0
396,yes,1,1,1,1,1,1,1,0,0
397,yes,1,1,1,0,1,0,0,1,0
398,yes,0,1,1,0,1,1,0,0,0
399,yes,1,1,1,1,1,1,1,0,0
400,yes,1,1,1,1,1,1,1,0,0
401,yes,0,1,1,0,1,1,0,0,0
402,yes,1,1,1,1,1,1,1,0,0
403,yes,1,1,1,1,1,1,1,0,0
404,yes,0,1,1,0,1,1,0,1,0
405,yes,1,1,1,0,0,0,0,0,0
406,yes,1,1,1,0,0,0,0,0,0
407,yes,1,1,1,0,0,0,0,0,0
408,yes,1,1,1,1,0,1,0,0,0
409,yes,1,1,1,1,1,1,0,0,0
410,yes,0,1,1,0,1,1,0,0,0
411,yes,1,1,1,1,0,0,1,0,0
412,yes,0,1,1,0,1,1,1,0,0
413,yes,0,1,1,0,1,0,0,0,0
414,yes,1,1,1,1,1,1,1,0,0
415,yes,0,1,1,0,1,1,0,0,0
416,yes,1,1,1,0,1,1,1,0,0
417,yes,0,1,1,0,1,1,0,0,0
418,yes,1,1,1,0,1,0,0,1,0
419,yes,0,1,1,0,1,1,0,0,0
420,yes,0,1,1,0,1,1,0,0,0
421,yes,1,1,1,1,1,1,1,0,0
422,yes,0,1,1,0,1,1,0,0,0
423,yes,1,1,1,1,1,1,1,0,0
424,yes,1,1,1,1,1,1,1,0,0
425,yes,0,1,1,1,1,1,0,0,0
426,yes,0,1,1,1,1,1,0,0,0
427,yes,0,1,1,1,1,1,0,0,0
428,yes,0,1,1,1,1,1,0,0,0
429,yes,1,1,1,0,1,1,0,1,0
430,yes,0,1,1,1,1,1,1,0,0
431,yes,0,1,1,0,1,0,0,0,0
432,yes,0,1,1,0,1,1,0,0,0
433,yes,1,1,1,1,1,0,0,0,0
434,yes,1,1,1,1,1,1,1,0,0
435,yes,1,1,1,1,1,0,0,0,0
436,yes,0,1,1,0,1,0,0,0,0
437,yes,1,1,1,1,1,0,0,0,0
438,yes,0,1,1,0,1,1,0,1,0
439,yes,1,1,1,0,1,0,0,0,0
440,yes,0,1,1,1,1,1,0,0,0
441,yes,0,1,1,0,1,1,0,1,0
442,yes,0,1,1,1,1,1,1,0,0
443,yes,1,1,1,1,0,0,1,0,0
444,yes,1,1,1,0,0,0,0,0,0
445,yes,1,1,1,1,1,1,1,0,0
446,yes,1,1,1,0,0,0,0,0,0
447,yes,0,1,1,1,1,1,1,0,0
448,yes,1,1,1,1,1,1,1,0,0
449,yes,1,1,1,0,1,0,1,1,0
450,yes,1,1,1,1,1,1,0,0,0
451,yes,1,1,1,1,1,0,0,1,0
452,yes,1,1,1,1,1,0,0,0,0
453,yes,1,1,1,1,1,0,0,0,0
454,yes,1,1,1,0,0,1,0,0,0
455,yes,0,1,1,0,1,1,0,0,0
456,yes,0,1,1,0,1,0,0,0,0
457,yes,1,1,1,1,1,1,0,0,0
458,yes,1,1,1,0,1,0,0,0,0
459,yes,1,1,1,0,0,0,0,0,0
460,yes,1,1,1,0,0,1,0,0,0
461,yes,1,1,1,0,1,0,1,1,0
462,yes,0,1,1,0,1,1,0,1,0
463,yes,1,1,1,1,0,0,1,0,0
464,yes,0,1,1,1,1,1,0,0,0
465,yes,1,1,1,1,0,1,0,0,0
466,yes,0,1,1,0,1,1,0,1,0
467,yes,1,1,1,1,1,0,0,0,0
468,yes,1,1,1,0,1,1,1,0,0
469,yes,0,1,1,0,1,1,0,0,0
470,yes,0,1,1,1,1,0,0,0,0
471,yes,1,1,1,0,1,1,0,1,0
472,yes,0,1,1,0,1,1,0,1,0
473,yes,0,1,1,0,1,1,0,0,0
474,yes,1,1,1,0,1,1,0,1,0
475,yes,1,1,1,0,1,0,0,0,0
476,yes,1,1,1,1,1,0,0,0,0
477,yes,0,1,1,0,0,1,0,1,0
478,yes,1,1,1,0,0,0,0,0,0
479,yes,1,1,1,1,1,1,1,0,0
480,yes,1,1,1,1,1,1,1,0,0
481,yes,0,1,1,0,1,0,0,0,0
482,yes,0,1,1,1,1,1,0,1,0
483,yes,0,1,1,1,1,1,0,0,0
484,yes,0,1,1,0,1,1,0,0,0
485,yes,1,1,1,1,1,1,1,0,0
